# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
 2340   2.7460  2.0832   -0.7303  2.2053       NaN     NaN    2.1252  0.8504    1.6898  1.7428
 2350   2.7401  2.0965   -0.7158  2.2053       NaN     NaN    2.1246  0.8504    1.6985  1.7447
 2360   2.7330  2.1095   -0.7019  2.2042       NaN     NaN    2.1252  0.8495    1.7074  1.7475
 2370   2.7268  2.1225   -0.6874  2.2042       NaN     NaN    2.1250  0.8501    1.7158  1.7502
 2380   2.7198  2.1351   -0.6735  2.2033       NaN     NaN    2.1251  0.8502    1.7246  1.7528
 2390   2.7132  2.1479   -0.6592  2.2030       NaN     NaN    2.1253  0.8500    1.7337  1.7550
 2400   2.7063  2.1612   -0.6452  2.2029       NaN     NaN    2.1245  0.8499    1.7419  1.7566
 2410   2.6994  2.1739   -0.6310  2.2023       NaN     NaN    2.1247  0.8501    1.7506  1.7594
 2420   2.6933  2.1862   -0.6166  2.2015       NaN     NaN    2.1253  0.8503    1.7602  1.7622
 2430   2.6860  2.1991   -0.6030  2.2014       NaN     NaN    2.1254  0.8496    1.7693  1.7640
 2440   2.6787  2.2117   -0.5890  2.2016       NaN     NaN    2.1252  0.8504    1.7778  1.7662
 2450   2.6722  2.2251   -0.5746  2.2009       NaN     NaN    2.1247  0.8498    1.7872  1.7681
 2460   2.6650  2.2380   -0.5608  2.2011       NaN     NaN    2.1247  0.8496    1.7958  1.7706
 2470   2.6584  2.2498   -0.5476  2.2005       NaN     NaN    2.1251  0.8502    1.8048  1.7731
 2480   2.6512  2.2629   -0.5333  2.2008       NaN     NaN    2.1248  0.8500    1.8146  1.7752
 2490   2.6448  2.2752   -0.5200  2.2003       NaN     NaN    2.1248  0.8495    1.8233  1.7770
 2500   2.6373  2.2874   -0.5067  2.2003       NaN     NaN    2.1251  0.8503    1.8324  1.7797
 2510   2.6304  2.3004   -0.4924  2.2000       NaN     NaN    2.1250  0.8498    1.8419  1.7822
 2520   2.6237  2.3125   -0.4790  2.1998       NaN     NaN    2.1253  0.8496    1.8517  1.7842
 2530   2.6164  2.3250   -0.4655  2.1992       NaN     NaN    2.1252  0.8496    1.8604  1.7866
 2540   2.6093  2.3370   -0.4527  2.1999       NaN     NaN    2.1246  0.8497    1.8697  1.7882
 2550   2.6025  2.3502   -0.4389  2.1992       NaN     NaN    2.1248  0.8500    1.8795  1.7908
 2560   2.5958  2.3625   -0.4254  2.1994       NaN     NaN    2.1246  0.8497    1.8892  1.7931
 2570   2.5881  2.3748   -0.4122  2.1997       NaN     NaN    2.1246  0.8503    1.8977  1.7952
 2580   2.5815  2.3871   -0.3996  2.1996       NaN     NaN    2.1254  0.8501    1.9076  1.7976
 2590   2.5742  2.3989   -0.3860  2.1995       NaN     NaN    2.1251  0.8500    1.9165  1.8001
 2600   2.5667  2.4106   -0.3727  2.1990       NaN     NaN    2.1250  0.8496    1.9262  1.8031
 2610   2.5598  2.4230   -0.3598  2.1996       NaN     NaN    2.1249  0.8495    1.9360  1.8053
 2620   2.5522  2.4348   -0.3468  2.1993       NaN     NaN    2.1252  0.8500    1.9454  1.8075
 2630   2.5449  2.4475   -0.3344  2.1999       NaN     NaN    2.1248  0.8502    1.9545  1.8096
 2640   2.5373  2.4588   -0.3207  2.1997       NaN     NaN    2.1252  0.8500    1.9639  1.8124
 2650   2.5299  2.4717   -0.3085  2.1995       NaN     NaN    2.1254  0.8502    1.9742  1.8152
 2660   2.5234  2.4831   -0.2959  2.2001       NaN     NaN    2.1245  0.8504    1.9834  1.8178
 2670   2.5158  2.4947   -0.2826  2.2002       NaN     NaN    2.1254  0.8497    1.9930  1.8209
 2680   2.5085  2.5072   -0.2696  2.2005       NaN     NaN    2.1245  0.8501    2.0023  1.8233
 2690   2.5012  2.5189   -0.2578  2.2003       NaN     NaN    2.1250  0.8502    2.0114  1.8259
 2700   2.4938  2.5307   -0.2445  2.2013       NaN     NaN    2.1250  0.8498    2.0217  1.8288
 2710   2.4863  2.5422   -0.2321  2.2014       NaN     NaN    2.1247  0.8502    2.0306  1.8320
 2720   2.4783  2.5543   -0.2195  2.2018       NaN     NaN    2.1247  0.8499    2.0403  1.8350
 2730   2.4709  2.5662   -0.2078  2.2021       NaN     NaN    2.1247  0.8499    2.0496  1.8381
