# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
 8130      NaN     NaN       NaN     NaN    2.3273  3.3744    2.1251  0.8501    4.2602  3.9203
 8140      NaN     NaN       NaN     NaN    2.3145  3.3711    2.1252  0.8501    4.2604  3.9207
 8150      NaN     NaN       NaN     NaN    2.3021  3.3675    2.1252  0.8496    4.2602  3.9210
 8160      NaN     NaN       NaN     NaN    2.2891  3.3634    2.1250  0.8502    4.2603  3.9202
 8170      NaN     NaN       NaN     NaN    2.2771  3.3600    2.1249  0.8504    4.2604  3.9203
 8180      NaN     NaN       NaN     NaN    2.2638  3.3562    2.1247  0.8499    4.2602  3.9201
 8190      NaN     NaN       NaN     NaN    2.2510  3.3525    2.1251  0.8501    4.2608  3.9208
 8200      NaN     NaN       NaN     NaN    2.2393  3.3488    2.1247  0.8496    4.2603  3.9205
 8210      NaN     NaN       NaN     NaN    2.2257  3.3446    2.1246  0.8499    4.2607  3.9203
 8220      NaN     NaN       NaN     NaN    2.2135  3.3410    2.1249  0.8497    4.2599  3.9203
 8230      NaN     NaN       NaN     NaN    2.2011  3.3376    2.1252  0.8498    4.2605  3.9202
 8240      NaN     NaN       NaN     NaN    2.1884  3.3338    2.1246  0.8501    4.2603  3.9200
 8250      NaN     NaN       NaN     NaN    2.1752  3.3299    2.1248  0.8499    4.2603  3.9197
 8260      NaN     NaN       NaN     NaN    2.1635  3.3267    2.1245  0.8496    4.2603  3.9199
 8270      NaN     NaN       NaN     NaN    2.1500  3.3227    2.1249  0.8499    4.2601  3.9200
 8280      NaN     NaN       NaN     NaN    2.1381  3.3193    2.1253  0.8499    4.2595  3.9197
 8290      NaN     NaN       NaN     NaN    2.1254  3.3147    2.1246  0.8498    4.2601  3.9196
 8300      NaN     NaN       NaN     NaN    2.1127  3.3115    2.1249  0.8502    4.2594  3.9199
 8310      NaN     NaN       NaN     NaN    2.0998  3.3079    2.1248  0.8497    4.2597  3.9193
 8320      NaN     NaN       NaN     NaN    2.0881  3.3042    2.1248  0.8498    4.2600  3.9192
 8330      NaN     NaN       NaN     NaN    2.0754  3.3004    2.1248  0.8499    4.2600  3.9192
 8340      NaN     NaN       NaN     NaN    2.0632  3.2958    2.1254  0.8500    4.2596  3.9191
 8350      NaN     NaN       NaN     NaN    2.0501  3.2929    2.1247  0.8503    4.2588  3.9192
 8360      NaN     NaN       NaN     NaN    2.0375  3.2890    2.1252  0.8497    4.2596  3.9188
 8370      NaN     NaN       NaN     NaN    2.0255  3.2846    2.1250  0.8502    4.2595  3.9188
 8380      NaN     NaN       NaN     NaN    2.0128  3.2810    2.1251  0.8500    4.2588  3.9185
 8390      NaN     NaN       NaN     NaN    1.9997  3.2768    2.1254  0.8505    4.2588  3.9188
 8400      NaN     NaN       NaN     NaN    1.9878  3.2729    2.1249  0.8500    4.2585  3.9182
 8410      NaN     NaN       NaN     NaN    1.9747  3.2692    2.1248  0.8501    4.2585  3.9185
 8420      NaN     NaN       NaN     NaN    1.9624  3.2660    2.1248  0.8496    4.2580  3.9185
 8430      NaN     NaN       NaN     NaN    1.9495  3.2612    2.1254  0.8503    4.2577  3.9182
 8440      NaN     NaN       NaN     NaN    1.9376  3.2576    2.1254  0.8496    4.2576  3.9182
 8450      NaN     NaN       NaN     NaN    1.9247  3.2537    2.1248  0.8499    4.2575  3.9173
 8460      NaN     NaN       NaN     NaN    1.9123  3.2503    2.1255  0.8497    4.2573  3.9178
 8470      NaN     NaN       NaN     NaN    1.8994  3.2459    2.1252  0.8500    4.2571  3.9175
 8480      NaN     NaN       NaN     NaN    1.8871  3.2421    2.1246  0.8501    4.2573  3.9168
 8490      NaN     NaN       NaN     NaN    1.8750  3.2384    2.1252  0.8502    4.2566  3.9168
 8500      NaN     NaN       NaN     NaN    1.8619  3.2338    2.1246  0.8497    4.2565  3.9166
 8510      NaN     NaN       NaN     NaN    1.8498  3.2303    2.1250  0.8499    4.2568  3.9168
 8520      NaN     NaN       NaN     NaN    1.8373  3.2265    2.1253  0.8499    4.2560  3.9165
 8530      NaN     NaN       NaN     NaN    1.8249  3.2221    2.1248  0.8501    4.2563  3.9157
 8540      NaN     NaN       NaN     NaN    1.8119  3.2180    2.1249  0.8502    4.2562  3.9157
 8550      NaN     NaN       NaN     NaN    1.7992  3.2141    2.1252  0.8499    4.2555  3.9155
 8560      NaN     NaN       NaN     NaN    1.7876  3.2110    2.1252  0.8497    4.2550  3.9150
 8570      NaN     NaN       NaN     NaN    1.7743  3.2063    2.1248  0.8495    4.2549  3.9150
 8580      NaN     NaN       NaN     NaN    1.7620  3.2023    2.1252  0.8500    4.2550  3.9150
 8590      NaN     NaN       NaN     NaN    1.7494  3.1987    2.1249  0.8496    4.2546  3.9144
 8600      NaN     NaN       NaN     NaN    1.7375  3.1948    2.1248  0.8498    4.2549  3.9143
 8610      NaN     NaN       NaN     NaN    1.7244  3.1908    2.1254  0.8496    4.2540  3.9145
 8620      NaN     NaN       NaN     NaN    1.7120  3.1868    2.1247  0.8504    4.2535  3.9137
 8630      NaN     NaN       NaN     NaN    1.6995  3.1826    2.1253  0.8502    4.2536  3.9133
 8640      NaN     NaN       NaN     NaN    1.6868  3.1786    2.1254  0.8504    4.2537  3.9134
 8650      NaN     NaN       NaN     NaN    1.6743  3.1742    2.1251  0.8500    4.2534  3.9129
 8660      NaN     NaN       NaN     NaN    1.6621  3.1701    2.1252  0.8498    4.2527  3.9127
 8670      NaN     NaN       NaN     NaN    1.6492  3.1665    2.1252  0.8498    4.2521  3.9124
 8680      NaN     NaN       NaN     NaN    1.6373  3.1622    2.1245  0.8496    4.2524  3.9124
 8690      NaN     NaN       NaN     NaN    1.6250  3.1582    2.1247  0.8497    4.2519  3.9124
 8700      NaN     NaN       NaN     NaN    1.6125  3.1541    2.1250  0.8495    4.2520  3.9119
 8710      NaN     NaN       NaN     NaN    1.5996  3.1494    2.1247  0.8497    4.2516  3.9111
 8720      NaN     NaN       NaN     NaN    1.5867  3.1451    2.1246  0.8500    4.2507  3.9106
 8730      NaN     NaN       NaN     NaN    1.5749  3.1411    2.1251  0.8497    4.2502  3.9103
 8740      NaN     NaN       NaN     NaN    1.5622  3.1370    2.1254  0.8504    4.2502  3.9104
 8750      NaN     NaN       NaN     NaN    1.5501  3.1337    2.1246  0.8499    4.2505  3.9103
 8760      NaN     NaN       NaN     NaN    1.5373  3.1288    2.1255  0.8502    4.2492  3.9097
 8770      NaN     NaN       NaN     NaN    1.5251  3.1254    2.1247  0.8501    4.2497  3.9097
 8780      NaN     NaN       NaN     NaN    1.5124  3.1208    2.1249  0.8502    4.2486  3.9093
 8790      NaN     NaN       NaN     NaN    1.4996  3.1162    2.1250  0.8498    4.2489  3.9087
 8800      NaN     NaN       NaN     NaN    1.4876  3.1124    2.1250  0.8503    4.2483  3.9081
 8810      NaN     NaN       NaN     NaN    1.4750  3.1083    2.1246  0.8503    4.2476  3.9077
 8820      NaN     NaN       NaN     NaN    1.4621  3.1044    2.1246  0.8497    4.2478  3.9075
 8830      NaN     NaN       NaN     NaN    1.4503  3.0993    2.1251  0.8503    4.2473  3.9075
 8840      NaN     NaN       NaN     NaN    1.4372  3.0952    2.1254  0.8504    4.2468  3.9071
 8850      NaN     NaN       NaN     NaN    1.4254  3.0916    2.1246  0.8495    4.2463  3.9064
 8860      NaN     NaN       NaN     NaN    1.4121  3.0876    2.1247  0.8495    4.2462  3.9059
 8870      NaN     NaN       NaN     NaN    1.3997  3.0826    2.1252  0.8495    4.2453  3.9053
 8880      NaN     NaN       NaN     NaN    1.3873  3.0782    2.1249  0.8504    4.2449  3.9053
 8890      NaN     NaN       NaN     NaN    1.3747  3.0740    2.1246  0.8504    4.2450  3.9045
 8900      NaN     NaN       NaN     NaN    1.3623  3.0699    2.1245  0.8495    4.2443  3.9039
 8910      NaN     NaN       NaN     NaN    1.3498  3.0658    2.1251  0.8497    4.2441  3.9042
 8920      NaN     NaN       NaN     NaN    1.3378  3.0611    2.1250  0.8496    4.2433  3.9033
 8930      NaN     NaN       NaN     NaN    1.3248  3.0569    2.1247  0.8495    4.2425  3.9035
 8940      NaN     NaN       NaN     NaN    1.3130  3.0533    2.1246  0.8498    4.2423  3.9026
 8950      NaN     NaN       NaN     NaN    1.3003  3.0485    2.1248  0.8503    4.2417  3.9023
 8960      NaN     NaN       NaN     NaN    1.2874  3.0444    2.1246  0.8504    4.2419  3.9019
 8970      NaN     NaN       NaN     NaN    1.2751  3.0401    2.1252  0.8505    4.2411  3.9013
 8980      NaN     NaN       NaN     NaN    1.2629  3.0357    2.1247  0.8499    4.2406  3.9011
 8990      NaN     NaN       NaN     NaN    1.2506  3.0312    2.1251  0.8502    4.2403  3.9003
 9000      NaN     NaN       NaN     NaN    1.2381  3.0274    2.1249  0.8504    4.2400  3.9002
 9010      NaN     NaN       NaN     NaN    1.2259  3.0225    2.1251  0.8503    4.2389  3.8994
 9020      NaN     NaN       NaN     NaN    1.2133  3.0182    2.1252  0.8498    4.2386  3.8988
 9030      NaN     NaN       NaN     NaN    1.2011  3.0135    2.1248  0.8497    4.2384  3.8983
 9040      NaN     NaN       NaN     NaN    1.1884  3.0095    2.1247  0.8498    4.2377  3.8976
 9050      NaN     NaN       NaN     NaN    1.1756  3.0050    2.1254  0.8500    4.2375  3.8973
 9060      NaN     NaN       NaN     NaN    1.1637  3.0009    2.1247  0.8500    4.2365  3.8971
 9070      NaN     NaN       NaN     NaN    1.1506  2.9960    2.1254  0.8504    4.2364  3.8962
 9080      NaN     NaN       NaN     NaN    1.1381  2.9923    2.1254  0.8496    4.2360  3.8959
 9090      NaN     NaN       NaN     NaN    1.1255  2.9875    2.1250  0.8502    4.2350  3.8957
 9100      NaN     NaN       NaN     NaN    1.1134  2.9831    2.1254  0.8499    4.2344  3.8952
 9110      NaN     NaN       NaN     NaN    1.1016  2.9790    2.1247  0.8495    4.2346  3.8943
 9120      NaN     NaN       NaN     NaN    1.0883  2.9744    2.1254  0.8502    4.2337  3.8942
 9130      NaN     NaN       NaN     NaN    1.0765  2.9694    2.1252  0.8496    4.2329  3.8930
 9140      NaN     NaN       NaN     NaN    1.0635  2.9648    2.1250  0.8495    4.2325  3.8925
 9150      NaN     NaN       NaN     NaN    1.0510  2.9611    2.1251  0.8505    4.2320  3.8925
 9160      NaN     NaN       NaN     NaN    1.0393  2.9565    2.1250  0.8495    4.2310  3.8919
 9170      NaN     NaN       NaN     NaN    1.0270  2.9515    2.1251  0.8504    4.2308  3.8906
 9180      NaN     NaN       NaN     NaN    1.0137  2.9474    2.1249  0.8499    4.2300  3.8902
 9190      NaN     NaN       NaN     NaN    1.0013  2.9423    2.1253  0.8502    4.2301  3.8895
 9200      NaN     NaN       NaN     NaN    0.9892  2.9379    2.1250  0.8503    4.2291  3.8888
 9210      NaN     NaN       NaN     NaN    0.9769  2.9335    2.1251  0.8499    4.2284  3.8882
 9220      NaN     NaN       NaN     NaN    0.9647  2.9287    2.1245  0.8501    4.2276  3.8883
 9230      NaN     NaN       NaN     NaN    0.9524  2.9247    2.1252  0.8499    4.2278  3.8874
 9240      NaN     NaN       NaN     NaN    0.9393  2.9203    2.1253  0.8498    4.2267  3.8865
 9250      NaN     NaN       NaN     NaN    0.9270  2.9151    2.1252  0.8496    4.2266  3.8866
 9260      NaN     NaN       NaN     NaN    0.9144  2.9108    2.1246  0.8500    4.2251  3.8859
 9270      NaN     NaN       NaN     NaN    0.9019  2.9066    2.1245  0.8504    4.2248  3.8849
 9280      NaN     NaN       NaN     NaN    0.8903  2.9020    2.1246  0.8496    4.2246  3.8846
 9290      NaN     NaN       NaN     NaN    0.8776  2.8974    2.1245  0.8496    4.2241  3.8842
 9300      NaN     NaN       NaN     NaN    0.8655  2.8924    2.1250  0.8503    4.2226  3.8826
 9310      NaN     NaN       NaN     NaN    0.8526  2.8880    2.1246  0.8500    4.2227  3.8829
 9320      NaN     NaN       NaN     NaN    0.8407  2.8834    2.1249  0.8498    4.2214  3.8817
 9330      NaN     NaN       NaN     NaN    0.8275  2.8789    2.1255  0.8500    4.2213  3.8814
 9340      NaN     NaN       NaN     NaN    0.8154  2.8741    2.1252  0.8505    4.2202  3.8808
 9350      NaN     NaN       NaN     NaN    0.8034  2.8690    2.1249  0.8502    4.2201  3.8795
 9360      NaN     NaN       NaN     NaN    0.7912  2.8648    2.1253  0.8497    4.2192  3.8795
 9370      NaN     NaN       NaN     NaN    0.7788  2.8604    2.1248  0.8500    4.2189  3.8785
 9380      NaN     NaN       NaN     NaN    0.7655  2.8551    2.1247  0.8498    4.2174  3.8775
 9390      NaN     NaN       NaN     NaN    0.7537  2.8511    2.1246  0.8498    4.2171  3.8772
 9400      NaN     NaN       NaN     NaN    0.7407  2.8458    2.1254  0.8497    4.2160  3.8761
 9410      NaN     NaN       NaN     NaN    0.7288  2.8416    2.1245  0.8502    4.2161  3.8757
 9420      NaN     NaN       NaN     NaN    0.7160  2.8370    2.1252  0.8498    4.2146  3.8752
 9430      NaN     NaN       NaN     NaN    0.7043  2.8316    2.1245  0.8497    4.2140  3.8746
 9440      NaN     NaN       NaN     NaN    0.6916  2.8270    2.1249  0.8503    4.2136  3.8733
 9450      NaN     NaN       NaN     NaN    0.6795  2.8222    2.1249  0.8500    4.2124  3.8728
 9460      NaN     NaN       NaN     NaN    0.6667  2.8182    2.1255  0.8500    4.2122  3.8726
 9470      NaN     NaN       NaN     NaN    0.6548  2.8133    2.1253  0.8502    4.2111  3.8716
 9480      NaN     NaN       NaN     NaN    0.6420  2.8081    2.1252  0.8497    4.2107  3.8711
 9490      NaN     NaN       NaN     NaN    0.6294  2.8040    2.1247  0.8498    4.2100  3.8696
 9500      NaN     NaN       NaN     NaN    0.6169  2.7991    2.1246  0.8497    4.2096  3.8687
 9510      NaN     NaN       NaN     NaN    0.6052  2.7940    2.1251  0.8502    4.2081  3.8682
 9520      NaN     NaN       NaN     NaN    0.5923  2.7895    2.1253  0.8504    4.2076  3.8676
 9530      NaN     NaN       NaN     NaN    0.5803  2.7849    2.1249  0.8501    4.2065  3.8666
 9540      NaN     NaN       NaN     NaN    0.5679  2.7800    2.1248  0.8505    4.2065  3.8660
 9550      NaN     NaN       NaN     NaN    0.5553  2.7754    2.1252  0.8495    4.2055  3.8654
 9560      NaN     NaN       NaN     NaN    0.5429  2.7700    2.1247  0.8497    4.2048  3.8647
 9570      NaN     NaN       NaN     NaN    0.5309  2.7655    2.1247  0.8500    4.2037  3.8634
 9580      NaN     NaN       NaN     NaN    0.5181  2.7608    2.1250  0.8501    4.2032  3.8627
 9590      NaN     NaN       NaN     NaN    0.5060  2.7551    2.1248  0.8498    4.2019  3.8626
 9600      NaN     NaN       NaN     NaN    0.4935  2.7509    2.1251  0.8500    4.2014  3.8617
 9610      NaN     NaN       NaN     NaN    0.4808  2.7458    2.1246  0.8499    4.2008  3.8609
 9620      NaN     NaN       NaN     NaN    0.4690  2.7405    2.1246  0.8500    4.1999  3.8596
 9630      NaN     NaN       NaN     NaN    0.4568  2.7358    2.1250  0.8497    4.1989  3.8590
 9640      NaN     NaN       NaN     NaN    0.4443  2.7314    2.1253  0.8503    4.1985  3.8587
 9650      NaN     NaN       NaN     NaN    0.4321  2.7264    2.1252  0.8501    4.1977  3.8570
 9660      NaN     NaN       NaN     NaN    0.4190  2.7217    2.1253  0.8500    4.1965  3.8568
 9670      NaN     NaN       NaN     NaN    0.4069  2.7165    2.1252  0.8499    4.1960  3.8559
 9680      NaN     NaN       NaN     NaN    0.3951  2.7116    2.1247  0.8501    4.1953  3.8545
 9690      NaN     NaN       NaN     NaN    0.3825  2.7068    2.1250  0.8504    4.1941  3.8538
 9700      NaN     NaN       NaN     NaN    0.3701  2.7016    2.1245  0.8504    4.1933  3.8531
 9710      NaN     NaN       NaN     NaN    0.3576  2.6972    2.1245  0.8498    4.1927  3.8526
 9720      NaN     NaN       NaN     NaN    0.3453  2.6915    2.1250  0.8504    4.1910  3.8515
 9730      NaN     NaN       NaN     NaN    0.3329  2.6872    2.1255  0.8500    4.1904  3.8505
 9740      NaN     NaN       NaN     NaN    0.3202  2.6823    2.1247  0.8499    4.1901  3.8496
 9750      NaN     NaN       NaN     NaN    0.3083  2.6769    2.1247  0.8499    4.1886  3.8490
 9760      NaN     NaN       NaN     NaN    0.2963  2.6723    2.1248  0.8503    4.1884  3.8481
 9770      NaN     NaN       NaN     NaN    0.2837  2.6674    2.1245  0.8499    4.1871  3.8473
 9780      NaN     NaN       NaN     NaN    0.2714  2.6621    2.1252  0.8504    4.1863  3.8462
 9790      NaN     NaN       NaN     NaN    0.2590  2.6572    2.1248  0.8496    4.1855  3.8452
 9800      NaN     NaN       NaN     NaN    0.2463  2.6519    2.1253  0.8501    4.1844  3.8447
 9810      NaN     NaN       NaN     NaN    0.2342  2.6475    2.1248  0.8495    4.1836  3.8438
 9820      NaN     NaN       NaN     NaN    0.2222  2.6418    2.1255  0.8502    4.1824  3.8425
 9830      NaN     NaN       NaN     NaN    0.2100  2.6373    2.1255  0.8504    4.1819  3.8419
 9840      NaN     NaN       NaN     NaN    0.1967  2.6321    2.1248  0.8497    4.1802  3.8402
 9850      NaN     NaN       NaN     NaN    0.1848  2.6269    2.1253  0.8498    4.1798  3.8396
 9860      NaN     NaN       NaN     NaN    0.1728  2.6221    2.1254  0.8498    4.1792  3.8386
 9870      NaN     NaN       NaN     NaN    0.1598  2.6172    2.1249  0.8501    4.1777  3.8378
 9880      NaN     NaN       NaN     NaN    0.1476  2.6111    2.1247  0.8503    4.1765  3.8368
 9890      NaN     NaN       NaN     NaN    0.1356  2.6065    2.1246  0.8502    4.1760  3.8356
 9900      NaN     NaN       NaN     NaN    0.1231  2.6016    2.1247  0.8501    4.1748  3.8348
 9910      NaN     NaN       NaN     NaN    0.1110  2.5968    2.1254  0.8503    4.1742  3.8339
 9920      NaN     NaN       NaN     NaN    0.0983  2.5907    2.1252  0.8503    4.1734  3.8334
 9930      NaN     NaN       NaN     NaN    0.0857  2.5862    2.1253  0.8496    4.1717  3.8321
 9940      NaN     NaN       NaN     NaN    0.0740  2.5808    2.1246  0.8500    4.1706  3.8307
 9950      NaN     NaN       NaN     NaN    0.0618  2.5757    2.1249  0.8498    4.1696  3.8297
 9960      NaN     NaN       NaN     NaN    0.0491  2.5710    2.1255  0.8497    4.1687  3.8294
 9970      NaN     NaN       NaN     NaN    0.0370  2.5657    2.1252  0.8503    4.1680  3.8282
 9980      NaN     NaN       NaN     NaN    0.0247  2.5603    2.1255  0.8504    4.1673  3.8269
 9990      NaN     NaN       NaN     NaN    0.0122  2.5554    2.1254  0.8498    4.1665  3.8255
10000      NaN     NaN       NaN     NaN    0.0003  2.5501    2.1250  0.8496    4.1651  3.8248
